date,pmi,business_outlook_survey,business_confidence_index,consumer_confidence_index,industrial_production,mgdp,business_sales,new_residential_sales,inventories,unemployment_rate,employment,weekly_hours,hourly_earnings,consumer_credit,personal_income,federal_debt,exports,imports,ppi,cpi,monetary_base,bank_assets,bank_liabilities,mortgage_rate,federal_funds_rate,treasury_bill,treasury_bill_10,effective_exchange_rate,spot_euro_us,nyse_composite_index,vix,quarterly_gdp
1992-11-30,53.6,18.2,99.92915,99.57556,66.2174,9831.193,550285,262,829839,7.4,109272,40.9,10.87,802.69798,7130.6,4372.2,45971.2,37744.3,117.8,142.1,355924,3460051.4,3192497.4,8.29,3.09,3.13,6.95,99.33,1.2389,2458.179932,13.01,
1992-12-31,54.2,25.4,100.2379,100.1166,66.2772,9867.303,552282,265,835800,7.4,109495,40.9,10.89,806.11869,7384.7,4412.8,46238.6,38830.9,117.6,142.3,361903,3461996.7,3192661,8.14,2.92,3.22,6.70,99.34,1.239,2508.090088,12.57,1.043164688
1993-01-31,55.8,31.1,100.4139,100.2582,66.5643,9852.216,558864,266,835983,7.3,109794,41.1,10.93,809.32543,7223.5,4446.0,45495,37616,118,142.8,360650,3447389.1,3181899,7.86,3.02,3,6.39,100.36,1.2122,2536.429932,12.42,
1993-02-28,55.2,34.3,100.3252,100.1347,66.8594,9867.76,558311,267,838089,7.1,110044,41.1,10.95,814.05892,7257.7,4519.6,45102,37064,118.4,143.1,359533,3455137.1,3185888.5,7.53,3.03,2.93,6.03,100.27,1.1823,2577.97998,13.16,
1993-03-31,53.5,16.2,100.0106,99.93533,66.7658,9831.251,554939,270,844806,7,109994,40.8,10.99,813.65629,7235.1,4541.6,48969,39027,118.7,143.3,362723,3475199.1,3205048.2,7.5,3.07,2.95,6.03,99.35,1.1787,2577.449951,12.53,0.167400308
1993-04-30,50.2,23.3,99.63477,99.68861,67,9869.844,560899,272,846782,7.1,110296,41.4,10.99,819.75694,7272.7,4570.5,48573,38717,119.3,143.8,368849,3484842.1,3208737.5,7.43,2.96,2.87,6.05,97.28,1.2211,2630.110107,12.42,
1993-05-31,51.2,14.8,99.42178,99.37344,66.7674,9928.228,568488,275,847279,7.1,110568,41,11.01,819.75905,7262.2,4590.6,47942,39592,119.7,144.2,370845,3515863.3,3241373.9,7.5,3,2.96,6.16,97.13,1.2172,2585.699951,13.47,
1993-06-30,49.6,3.5,99.29305,99.12835,66.8781,9925.226,566266,275,849135,7,110749,40.9,11.03,823.81181,7248.8,4701.2,49189,37932,119.5,144.3,375841,3547046.7,3271930.9,7.34,3.04,3.07,5.80,97.43,1.185,2646.389893,11.26,0.582419625
1993-07-31,50.2,-3.2,99.30399,98.90063,67.0845,9903.58,566307,278,849450,6.9,111055,41.1,11.05,829.51873,7267.1,4692.3,48112,37422,119.2,144.5,379121,3575984.5,3291164.4,7.25,3.06,3.04,5.83,98.53,1.1385,2629.050049,11.73,
1993-08-31,50.7,-0.3,99.4147,98.84225,67.014,9942.818,566668,286,850877,6.8,111206,41.1,11.07,834.23553,7277.7,4793.9,47901,37833,118.7,144.8,380892,3587016.2,3296290,6.97,3.03,3.02,5.45,98.37,1.1333,2638.459961,11.85,
1993-09-30,50.8,7.3,99.61328,98.97213,67.3345,10018.771,571317,287,855018,6.7,111448,41.3,11.1,840.60298,7257.8,4798.7,49083,38413,118.7,145,384705,3599622,3305251.8,6.95,3.09,2.95,5.40,97.87,1.1791,2716.179932,12.99,0.477314733
